"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min280.5_300",280.5,"0.347","7.4",0.00258,"13.23","13.59","13.4","8.1","8.2","8.15","Ch2","2024-02-15 01:47:45.145","SMR","19.47","02-14_210"
"min300.5_320",300.5,"0.886","6.48",0.00537,"13.14","13.58","13.4","8.09","8.21","8.15","Ch2","2024-02-15 02:07:45.392","SMR","19.47","02-14_210"
"min320.5_340",320.5,"0.656","9.61",0.00448,"13.11","13.61","13.39","8.08","8.21","8.13","Ch2","2024-02-15 02:27:45.754","SMR","19.47","02-14_210"
"min340.5_360",340.5,"0.092","8.6",0.00122,"13.12","13.48","13.27","8.11","8.22","8.17","Ch2","2024-02-15 02:47:45.135","SMR","19.47","02-14_210"
"min360.5_380",360.5,"0.721","6.37",0.00473,"13.31","13.66","13.51","8.08","8.19","8.12","Ch2","2024-02-15 03:07:45.519","SMR","19.47","02-14_210"
"min380.5_400",380.5,"0.93","10.52",0.00607,"13.19","13.64","13.39","8.09","8.21","8.15","Ch2","2024-02-15 03:27:44.935","SMR","19.47","02-14_210"
"min400.5_420",400.5,"0.123","7.56",0.00148,"13.18","13.62","13.36","8.11","8.21","8.17","Ch2","2024-02-15 03:47:45.321","SMR","19.48","02-14_210"
"min420.5_440",420.5,"0.713","6.19",0.00453,"13.26","13.66","13.51","8.09","8.21","8.14","Ch2","2024-02-15 04:07:44.766","SMR","19.48","02-14_210"
"min440.5_460",440.5,"0.931","11.17",0.00669,"13.15","13.66","13.34","8.09","8.23","8.16","Ch2","2024-02-15 04:27:45.104","SMR","19.47","02-14_210"
"min460.5_480",460.5,"0.893","5.39",0.00591,"13.14","13.67","13.4","8.1","8.23","8.17","Ch2","2024-02-15 04:47:45.447","SMR","19.47","02-14_210"
"min480.5_500",480.5,"0.185","9.04",0.00183,"13.19","13.63","13.46","8.09","8.2","8.14","Ch2","2024-02-15 05:07:44.792","SMR","19.47","02-14_210"
"min500.5_520",500.5,"0.437","9.81",0.00319,"13.14","13.5","13.29","8.11","8.24","8.18","Ch2","2024-02-15 05:27:45.218","SMR","19.48","02-14_210"
"min520.5_540",520.5,"0.788","5.53",0.00497,"13.18","13.59","13.38","8.11","8.22","8.17","Ch2","2024-02-15 05:47:45.626","SMR","19.47","02-14_210"
"min540.5_560",540.5,"0.386","6.82",0.00242,"13.31","13.59","13.45","8.11","8.2","8.15","Ch2","2024-02-15 06:07:44.996","SMR","19.47","02-14_210"
