Date,Temperature,Time start,Time end,Box,Channel,Genet,Tank,Run,Polyps,Comments,size1a (cm),size1b (cm),size2a (cm),size2b (cm),size3a (cm),size3b (cm),size4a (cm),size4b (cm),size5a (cm),size5b (cm),size6a (cm),size6b (cm),size7a (cm),size7b (cm),size8a (cm),size8b (cm),size9a (cm),size9b (cm),size10a (cm),size10b (cm),size11a (cm),size11b (cm)
12/11/23,23,13:00,16:00,2,3,E,14,Corynactis,3,,0.303,0.324,0.49,0.397,0.342,0.371,,,,,,,,,,,,,,,,
12/11/23,23,13:00,16:00,1,2,B,14,Corynactis,7,,0.306,0.323,0.456,0.4,0.417,0.415,0.311,0.335,0.659,0.493,0.757,0.569,0.529,0.438,,,,,,,,
12/11/23,23,13:00,16:00,1,3,A,15,Corynactis,7,,0.547,0.34,0.369,0.348,0.387,0.437,0.424,0.332,0.533,0.475,0.396,0.367,0.898,0.552,,,,,,,,
12/11/23,23,13:00,16:00,1,4,E,15,Corynactis,7,,0.421,0.251,0.43,0.619,0.461,0.448,0.438,0.328,0.408,0.337,0.264,0.299,0.138,0.116,,,,,,,,
12/12/23,19,11:00,14:15,2,1,A,7,Corynactis,6,,0.428,0.368,0.321,0.253,0.354,0.286,0.311,0.254,0.379,0.327,0.468,0.391,,,,,,,,,,
12/12/23,19,11:00,14:15,2,2,B,7,Corynactis,3,,0.375,0.355,0.602,0.479,0.447,0.366,,,,,,,,,,,,,,,,
12/12/23,19,11:00,14:15,2,3,E,7,Corynactis,3,,0.558,0.487,0.421,0.371,0.515,0.428,,,,,,,,,,,,,,,,
12/12/23,19,11:00,14:15,1,2,A,8,Corynactis,8,,0.481,0.448,0.557,0.399,0.482,0.364,0.247,0.222,0.414,0.412,0.318,0.432,0.304,0.446,0.594,0.495,,,,,,
12/12/23,19,11:00,14:15,1,3,B,9,Corynactis,3,,0.461,0.485,0.365,0.334,0.379,0.388,,,,,,,,,,,,,,,,
12/12/23,19,11:00,14:15,1,4,E,10,Corynactis,8,,0.314,0.344,0.228,0.375,0.784,0.397,0.444,0.38,0.433,0.429,0.432,0.413,0.397,0.358,0.514,0.271,,,,,,
12/12/23,15,18:00,21:15,2,1,A,2,Corynactis,7,,0.586,0.485,0.592,0.46,0.447,0.41,0.402,0.322,0.578,0.409,0.487,0.452,0.357,0.283,,,,,,,,
12/12/23,15,18:00,21:15,2,2,B,2,Corynactis,5,,0.611,0.423,0.405,0.406,0.622,0.502,0.427,0.358,0.571,0.489,,,,,,,,,,,,
12/12/23,15,18:00,21:15,2,3,E,2,Corynactis,3,,0.359,0.342,0.429,0.45,0.413,0.359,,,,,,,,,,,,,,,,
12/12/23,15,18:00,21:15,1,2,B,3,Corynactis,5,,0.839,0.626,0.446,0.419,0.478,0.344,0.527,0.453,0.59,0.509,,,,,,,,,,,,
12/12/23,15,18:00,21:15,1,3,E,3,Corynactis,3,,0.457,0.428,0.454,0.456,0.52,0.472,,,,,,,,,,,,,,,,
12/12/23,15,18:00,21:15,1,4,A,4,Corynactis,4,,0.3,0.234,0.399,0.365,0.539,0.466,0.662,0.44,,,,,,,,,,,,,,
2/14/24,13.5,10:45,14:00,2,1,D,7,Corynactis,3,,0.292,0.262,0.449,0.403,0.399,0.38,,,,,,,,,,,,,,,,
2/14/24,13.5,10:45,14:00,2,2,D,6,Corynactis,5,,0.432,0.434,0.441,0.43,0.357,0.32,0.286,0.281,0.388,0.314,,,,,,,,,,,,
2/14/24,13.5,10:45,14:00,2,3,D,10,Corynactis,5,,0.36,0.285,0.388,0.342,0.391,0.341,0.308,0.297,0.431,0.378,,,,,,,,,,,,
2/14/24,13.5,10:45,14:00,2,4,D,8,Corynactis,6,,0.424,0.338,0.141,0.115,0.38,0.396,0.409,0.379,0.465,0.44,0.497,0.471,,,,,,,,,,
2/14/24,13.5,10:45,14:00,1,1,D,9,Corynactis,3,,0.369,0.401,0.356,0.295,0.267,0.233,,,,,,,,,,,,,,,,
2/14/24,13.5,10:45,14:00,1,2,D,8,Corynactis,5,,0.353,0.334,0.385,0.343,0.368,0.346,0.403,0.331,0.37,0.342,,,,,,,,,,,,
2/14/24,13.5,10:45,14:00,1,4,D,9,Corynactis,8,,0.551,0.437,0.432,0.454,0.383,0.359,0.486,0.459,0.555,0.393,0.497,0.386,0.335,0.33,0.328,0.285,,,,,,
2/14/24,13.5,16:00,19:15,2,1,C,10,Corynactis,5,,0.38,0.318,0.415,0.45,0.256,0.289,0.401,0.42,0.458,0.388,,,,,,,,,,,,
