date,temperature,time_start,time_end,box,channel,genet,tank,run,polyps,sum_body_size_mm,sum_body_mass_g
12/6/23,23,15:10:00,16:45:00,1,3,NA,NA,Empty,NA,NA,NA
12/6/23,23,15:10:00,16:45:00,1,4,NA,NA,Empty,NA,NA,NA
12/6/23,23,16:45:00,02:00:00,1,1,NA,NA,Empty,NA,NA,NA
12/6/23,23,16:45:00,02:00:00,1,2,NA,NA,Empty,NA,NA,NA
12/6/23,23,16:45:00,02:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/6/23,23,16:45:00,02:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/8/23,15,11:45:00,16:30:00,1,2,A,1,Corynactis,NA,NA,NA
12/8/23,15,11:45:00,16:30:00,1,3,B,1,Corynactis,NA,NA,NA
12/8/23,15,11:45:00,16:30:00,1,4,A,2,Corynactis,NA,NA,NA
12/8/23,15,11:45:00,16:30:00,2,1,B,2,Corynactis,5,23.095,3.6998
12/8/23,15,11:45:00,16:30:00,2,2,A,3,Corynactis,6,28.08,4.5106
12/8/23,15,11:45:00,16:30:00,2,3,B,3,Corynactis,8,35.955,5.7371
12/8/23,15,16:45:00,18:00:00,2,1,B,2,Tile,NA,NA,NA
12/8/23,15,16:45:00,18:00:00,2,2,A,3,Tile,NA,NA,NA
12/8/23,15,16:45:00,18:00:00,2,3,B,3,Tile,NA,NA,NA
12/8/23,15,22:30:00,02:00:00,2,1,NA,NA,Empty,NA,NA,NA
12/8/23,15,22:30:00,02:00:00,2,2,NA,NA,Empty,NA,NA,NA
12/8/23,15,22:30:00,02:00:00,2,3,NA,NA,Empty,NA,NA,NA
12/9/23,15,12:20:00,15:30:00,2,1,A,1,Corynactis,6,27.865,4.5427
12/9/23,15,12:20:00,15:30:00,2,2,B,1,Corynactis,5,20.785,3.2513
12/9/23,15,12:20:00,15:30:00,2,3,A,4,Corynactis,4,18.24,2.9504
12/9/23,15,12:20:00,15:30:00,1,2,B,4,Corynactis,3,13.635,2.1564
12/9/23,15,12:20:00,15:30:00,1,3,A,5,Corynactis,7,22.45,3.5348
12/9/23,15,12:20:00,15:30:00,1,4,B,5,Corynactis,3,12.215,1.8288
12/9/23,15,16:00:00,17:30:00,2,1,A,1,Tile,NA,NA,NA
12/9/23,15,16:00:00,17:30:00,2,2,B,1,Tile,NA,NA,NA
12/9/23,15,16:00:00,17:30:00,2,3,A,4,Tile,NA,NA,NA
12/9/23,15,16:00:00,17:30:00,1,2,B,4,Tile,NA,NA,NA
12/9/23,15,16:00:00,17:30:00,1,3,A,5,Tile,NA,NA,NA
12/9/23,15,16:00:00,17:30:00,1,4,B,5,Tile,NA,NA,NA
12/9/23,15,17:45:00,02:00:00,2,1,NA,NA,Empty,NA,NA,NA
12/9/23,15,17:45:00,02:00:00,2,2,NA,NA,Empty,NA,NA,NA
